environment,genotype,block,value,trait,trait_label
LN2023,Fm236,1,91,dtf,Days to flowering
LN2023,Fm236,2,94,dtf,Days to flowering
LN2023,Fm236,3,98,dtf,Days to flowering
LN2023,Fm238,1,118,dtf,Days to flowering
LN2023,Fm238,2,117,dtf,Days to flowering
LN2023,Fm238,3,116,dtf,Days to flowering
LN2023,Fm245,1,139,dtf,Days to flowering
LN2023,Fm245,2,140,dtf,Days to flowering
LN2023,Fm245,3,140,dtf,Days to flowering
LN2023,Fm246,1,138,dtf,Days to flowering
LN2023,Fm246,2,138,dtf,Days to flowering
LN2023,Fm246,3,139,dtf,Days to flowering
LN2023,Fm249,1,128,dtf,Days to flowering
LN2023,Fm249,2,128,dtf,Days to flowering
LN2023,Fm249,3,125,dtf,Days to flowering
LN2023,Fm250,1,139,dtf,Days to flowering
LN2023,Fm250,2,138,dtf,Days to flowering
LN2023,Fm250,3,127,dtf,Days to flowering
LN2023,Fm251,1,153,dtf,Days to flowering
LN2023,Fm251,2,154,dtf,Days to flowering
LN2023,Fm251,3,132,dtf,Days to flowering
LN2023,Fm255,1,83,dtf,Days to flowering
LN2023,Fm255,2,83,dtf,Days to flowering
LN2023,Fm255,3,83,dtf,Days to flowering
LN2023,Fm28,1,137,dtf,Days to flowering
LN2023,Fm28,2,143,dtf,Days to flowering
LN2023,Fm28,3,153,dtf,Days to flowering
LN2023,Fm3,1,139,dtf,Days to flowering
LN2023,Fm3,2,140,dtf,Days to flowering
LN2023,Fm3,3,141,dtf,Days to flowering
LN2023,Fm30,1,140,dtf,Days to flowering
LN2023,Fm30,2,141,dtf,Days to flowering
LN2023,Fm30,3,141,dtf,Days to flowering
LN2023,Fm31,1,143,dtf,Days to flowering
LN2023,Fm31,2,152,dtf,Days to flowering
LN2023,Fm31,3,141,dtf,Days to flowering
LN2023,Fm321,1,89,dtf,Days to flowering
LN2023,Fm321,2,91,dtf,Days to flowering
LN2023,Fm321,3,89,dtf,Days to flowering
LN2023,Fm322,1,139,dtf,Days to flowering
LN2023,Fm322,2,139,dtf,Days to flowering
LN2023,Fm322,3,139,dtf,Days to flowering
LN2023,Fm324,1,100,dtf,Days to flowering
LN2023,Fm324,2,104,dtf,Days to flowering
LN2023,Fm324,3,113,dtf,Days to flowering
LN2023,Fm325,1,114,dtf,Days to flowering
LN2023,Fm325,2,117,dtf,Days to flowering
LN2023,Fm325,3,114,dtf,Days to flowering
LN2023,Fm328,1,111,dtf,Days to flowering
LN2023,Fm328,2,112,dtf,Days to flowering
LN2023,Fm328,3,111,dtf,Days to flowering
LN2023,Fm332,1,129,dtf,Days to flowering
LN2023,Fm332,2,122,dtf,Days to flowering
LN2023,Fm332,3,118,dtf,Days to flowering
LN2023,Fm334,1,139,dtf,Days to flowering
LN2023,Fm334,2,140,dtf,Days to flowering
LN2023,Fm334,3,140,dtf,Days to flowering
LN2023,Fm336,1,111,dtf,Days to flowering
LN2023,Fm336,2,86,dtf,Days to flowering
LN2023,Fm336,3,105,dtf,Days to flowering
LN2023,Fm337,1,108,dtf,Days to flowering
LN2023,Fm337,2,109,dtf,Days to flowering
LN2023,Fm337,3,109,dtf,Days to flowering
LN2023,Fm341,1,111,dtf,Days to flowering
LN2023,Fm341,2,113,dtf,Days to flowering
LN2023,Fm341,3,118,dtf,Days to flowering
LN2023,Fm343,1,137,dtf,Days to flowering
LN2023,Fm343,2,122,dtf,Days to flowering
LN2023,Fm343,3,118,dtf,Days to flowering
LN2023,Fm344,1,116,dtf,Days to flowering
LN2023,Fm344,2,120,dtf,Days to flowering
LN2023,Fm344,3,124,dtf,Days to flowering
LN2023,Fm345,1,114,dtf,Days to flowering
LN2023,Fm345,2,114,dtf,Days to flowering
LN2023,Fm345,3,114,dtf,Days to flowering
LN2023,Fm346,1,118,dtf,Days to flowering
LN2023,Fm346,2,128,dtf,Days to flowering
LN2023,Fm346,3,118,dtf,Days to flowering
LN2023,Fm347,1,105,dtf,Days to flowering
LN2023,Fm347,2,103,dtf,Days to flowering
LN2023,Fm347,3,111,dtf,Days to flowering
LN2023,Fm349,1,120,dtf,Days to flowering
LN2023,Fm349,2,121,dtf,Days to flowering
LN2023,Fm349,3,118,dtf,Days to flowering
LN2023,Fm351,1,119,dtf,Days to flowering
LN2023,Fm351,2,118,dtf,Days to flowering
LN2023,Fm351,3,114,dtf,Days to flowering
LN2023,Fm352,1,107,dtf,Days to flowering
LN2023,Fm352,2,109,dtf,Days to flowering
LN2023,Fm352,3,109,dtf,Days to flowering
LN2023,Fm354,1,107,dtf,Days to flowering
LN2023,Fm354,2,108,dtf,Days to flowering
LN2023,Fm354,3,111,dtf,Days to flowering
LN2023,Fm355,1,109,dtf,Days to flowering
LN2023,Fm355,2,109,dtf,Days to flowering
LN2023,Fm355,3,112,dtf,Days to flowering
LN2023,Fm356,1,118,dtf,Days to flowering
LN2023,Fm356,2,115,dtf,Days to flowering
LN2023,Fm356,3,114,dtf,Days to flowering
LN2023,Fm357,1,104,dtf,Days to flowering
LN2023,Fm357,2,109,dtf,Days to flowering
LN2023,Fm357,3,109,dtf,Days to flowering
LN2023,Fm358,1,128,dtf,Days to flowering
LN2023,Fm358,2,137,dtf,Days to flowering
LN2023,Fm358,3,127,dtf,Days to flowering
LN2023,Fm359,1,121,dtf,Days to flowering
LN2023,Fm359,2,121,dtf,Days to flowering
LN2023,Fm359,3,120,dtf,Days to flowering
LN2023,Fm36,1,137,dtf,Days to flowering
LN2023,Fm36,2,139,dtf,Days to flowering
LN2023,Fm36,3,128,dtf,Days to flowering
LN2023,Fm361,1,108,dtf,Days to flowering
LN2023,Fm361,2,108,dtf,Days to flowering
LN2023,Fm361,3,113,dtf,Days to flowering
LN2023,Fm362,1,109,dtf,Days to flowering
LN2023,Fm362,2,109,dtf,Days to flowering
LN2023,Fm362,3,114,dtf,Days to flowering
LN2023,Fm363,1,116,dtf,Days to flowering
LN2023,Fm363,2,110,dtf,Days to flowering
LN2023,Fm363,3,107,dtf,Days to flowering
LN2023,Fm364,1,118,dtf,Days to flowering
LN2023,Fm364,2,118,dtf,Days to flowering
LN2023,Fm364,3,120,dtf,Days to flowering
LN2023,Fm365,1,108,dtf,Days to flowering
LN2023,Fm365,2,104,dtf,Days to flowering
LN2023,Fm365,3,108,dtf,Days to flowering
LN2023,Fm366,1,102,dtf,Days to flowering
LN2023,Fm366,2,102,dtf,Days to flowering
LN2023,Fm366,3,102,dtf,Days to flowering
LN2023,Fm368,1,113,dtf,Days to flowering
LN2023,Fm368,2,108,dtf,Days to flowering
LN2023,Fm368,3,112,dtf,Days to flowering
LN2023,Fm369,1,98,dtf,Days to flowering
LN2023,Fm369,2,100,dtf,Days to flowering
LN2023,Fm369,3,99,dtf,Days to flowering
LN2023,Fm370,1,114,dtf,Days to flowering
LN2023,Fm370,2,114,dtf,Days to flowering
LN2023,Fm370,3,116,dtf,Days to flowering
LN2023,Fm372,1,107,dtf,Days to flowering
LN2023,Fm372,2,113,dtf,Days to flowering
LN2023,Fm372,3,113,dtf,Days to flowering
LN2023,Fm375,1,111,dtf,Days to flowering
LN2023,Fm375,2,109,dtf,Days to flowering
LN2023,Fm375,3,114,dtf,Days to flowering
LN2023,Fm376,1,99,dtf,Days to flowering
LN2023,Fm376,2,100,dtf,Days to flowering
LN2023,Fm376,3,105,dtf,Days to flowering
LN2023,Fm377,1,110,dtf,Days to flowering
LN2023,Fm377,2,111,dtf,Days to flowering
LN2023,Fm377,3,110,dtf,Days to flowering
LN2023,Fm378,1,104,dtf,Days to flowering
LN2023,Fm378,2,105,dtf,Days to flowering
LN2023,Fm378,3,103,dtf,Days to flowering
LN2023,Fm379,1,112,dtf,Days to flowering
LN2023,Fm379,2,113,dtf,Days to flowering
LN2023,Fm379,3,112,dtf,Days to flowering
LN2023,Fm380,1,104,dtf,Days to flowering
LN2023,Fm380,2,107,dtf,Days to flowering
LN2023,Fm380,3,111,dtf,Days to flowering
LN2023,Fm381,1,106,dtf,Days to flowering
LN2023,Fm381,2,107,dtf,Days to flowering
LN2023,Fm381,3,103,dtf,Days to flowering
LN2023,Fm382,1,107,dtf,Days to flowering
LN2023,Fm382,2,104,dtf,Days to flowering
LN2023,Fm382,3,107,dtf,Days to flowering
LN2023,Fm383,1,112,dtf,Days to flowering
LN2023,Fm383,2,113,dtf,Days to flowering
LN2023,Fm383,3,109,dtf,Days to flowering
LN2023,Fm384,1,115,dtf,Days to flowering
LN2023,Fm384,2,118,dtf,Days to flowering
LN2023,Fm384,3,114,dtf,Days to flowering
LN2023,Fm387,1,138,dtf,Days to flowering
LN2023,Fm387,2,139,dtf,Days to flowering
LN2023,Fm387,3,127,dtf,Days to flowering
LN2023,Fm388,1,107,dtf,Days to flowering
LN2023,Fm388,2,105,dtf,Days to flowering
LN2023,Fm388,3,108,dtf,Days to flowering
LN2023,Fm389,1,110,dtf,Days to flowering
LN2023,Fm389,2,115,dtf,Days to flowering
LN2023,Fm389,3,114,dtf,Days to flowering
LN2023,Fm390,1,100,dtf,Days to flowering
LN2023,Fm390,2,98,dtf,Days to flowering
LN2023,Fm390,3,98,dtf,Days to flowering
LN2023,Fm391,1,108,dtf,Days to flowering
LN2023,Fm391,2,108,dtf,Days to flowering
LN2023,Fm391,3,104,dtf,Days to flowering
LN2023,Fm392,1,91,dtf,Days to flowering
LN2023,Fm392,2,91,dtf,Days to flowering
LN2023,Fm392,3,91,dtf,Days to flowering
LN2023,Fm394,1,97,dtf,Days to flowering
LN2023,Fm394,2,102,dtf,Days to flowering
LN2023,Fm394,3,98,dtf,Days to flowering
LN2023,Fm395,1,110,dtf,Days to flowering
LN2023,Fm395,2,112,dtf,Days to flowering
LN2023,Fm395,3,113,dtf,Days to flowering
LN2023,Fm396,1,113,dtf,Days to flowering
LN2023,Fm396,2,113,dtf,Days to flowering
LN2023,Fm396,3,110,dtf,Days to flowering
LN2023,Fm398,1,107,dtf,Days to flowering
LN2023,Fm398,2,105,dtf,Days to flowering
LN2023,Fm398,3,109,dtf,Days to flowering
LN2023,Fm400,1,110,dtf,Days to flowering
LN2023,Fm400,2,112,dtf,Days to flowering
LN2023,Fm400,3,105,dtf,Days to flowering
LN2023,Fm401,1,107,dtf,Days to flowering
LN2023,Fm401,2,108,dtf,Days to flowering
LN2023,Fm401,3,104,dtf,Days to flowering
LN2023,Fm402,1,105,dtf,Days to flowering
LN2023,Fm402,2,109,dtf,Days to flowering
LN2023,Fm402,3,105,dtf,Days to flowering
LN2023,Fm403,1,102,dtf,Days to flowering
LN2023,Fm403,2,102,dtf,Days to flowering
LN2023,Fm403,3,103,dtf,Days to flowering
LN2023,Fm404,1,111,dtf,Days to flowering
LN2023,Fm404,2,109,dtf,Days to flowering
LN2023,Fm404,3,114,dtf,Days to flowering
LN2023,Fm405,1,110,dtf,Days to flowering
LN2023,Fm405,2,122,dtf,Days to flowering
LN2023,Fm405,3,116,dtf,Days to flowering
LN2023,Fm406,1,101,dtf,Days to flowering
LN2023,Fm406,2,101,dtf,Days to flowering
LN2023,Fm406,3,100,dtf,Days to flowering
LN2023,Fm407,1,122,dtf,Days to flowering
LN2023,Fm407,2,80,dtf,Days to flowering
LN2023,Fm407,3,111,dtf,Days to flowering
LN2023,Fm409,1,109,dtf,Days to flowering
LN2023,Fm409,2,112,dtf,Days to flowering
LN2023,Fm409,3,109,dtf,Days to flowering
LN2023,Fm41,1,141,dtf,Days to flowering
LN2023,Fm41,2,142,dtf,Days to flowering
LN2023,Fm41,3,144,dtf,Days to flowering
LN2023,Fm410,1,109,dtf,Days to flowering
LN2023,Fm410,2,108,dtf,Days to flowering
LN2023,Fm410,3,106,dtf,Days to flowering
LN2023,Fm411,1,107,dtf,Days to flowering
LN2023,Fm411,2,110,dtf,Days to flowering
LN2023,Fm411,3,109,dtf,Days to flowering
LN2023,Fm412,1,108,dtf,Days to flowering
LN2023,Fm412,2,104,dtf,Days to flowering
LN2023,Fm412,3,107,dtf,Days to flowering
LN2023,Fm413,1,114,dtf,Days to flowering
LN2023,Fm413,2,107,dtf,Days to flowering
LN2023,Fm413,3,111,dtf,Days to flowering
LN2023,Fm414,1,98,dtf,Days to flowering
LN2023,Fm414,2,94,dtf,Days to flowering
LN2023,Fm414,3,98,dtf,Days to flowering
LN2023,Fm415,1,98,dtf,Days to flowering
LN2023,Fm415,2,99,dtf,Days to flowering
LN2023,Fm415,3,98,dtf,Days to flowering
LN2023,Fm416,1,117,dtf,Days to flowering
LN2023,Fm416,2,111,dtf,Days to flowering
LN2023,Fm416,3,111,dtf,Days to flowering
LN2023,Fm417,1,128,dtf,Days to flowering
LN2023,Fm417,2,141,dtf,Days to flowering
LN2023,Fm417,3,130,dtf,Days to flowering
LN2023,Fm418,1,118,dtf,Days to flowering
LN2023,Fm418,2,116,dtf,Days to flowering
LN2023,Fm418,3,114,dtf,Days to flowering
LN2023,Fm419,1,96,dtf,Days to flowering
LN2023,Fm419,2,98,dtf,Days to flowering
LN2023,Fm419,3,91,dtf,Days to flowering
LN2023,Fm420,1,107,dtf,Days to flowering
LN2023,Fm420,2,107,dtf,Days to flowering
LN2023,Fm420,3,109,dtf,Days to flowering
LN2023,Fm421,1,109,dtf,Days to flowering
LN2023,Fm421,2,113,dtf,Days to flowering
LN2023,Fm421,3,111,dtf,Days to flowering
LN2023,Fm428,1,97,dtf,Days to flowering
LN2023,Fm428,2,92,dtf,Days to flowering
LN2023,Fm428,3,92,dtf,Days to flowering
LN2023,Fm429,1,97,dtf,Days to flowering
LN2023,Fm429,2,90,dtf,Days to flowering
LN2023,Fm429,3,90,dtf,Days to flowering
LN2023,Fm43,1,139,dtf,Days to flowering
LN2023,Fm43,2,140,dtf,Days to flowering
LN2023,Fm43,3,151,dtf,Days to flowering
LN2023,Fm44,1,124,dtf,Days to flowering
LN2023,Fm44,2,124,dtf,Days to flowering
LN2023,Fm44,3,119,dtf,Days to flowering
LN2023,Fm442,1,100,dtf,Days to flowering
LN2023,Fm442,2,102,dtf,Days to flowering
LN2023,Fm442,3,113,dtf,Days to flowering
LN2023,Fm443,1,102,dtf,Days to flowering
LN2023,Fm443,2,102,dtf,Days to flowering
LN2023,Fm443,3,100,dtf,Days to flowering
LN2023,Fm444,1,118,dtf,Days to flowering
LN2023,Fm444,2,109,dtf,Days to flowering
LN2023,Fm444,3,112,dtf,Days to flowering
LN2023,Fm446,1,112,dtf,Days to flowering
LN2023,Fm446,2,117,dtf,Days to flowering
LN2023,Fm446,3,113,dtf,Days to flowering
LN2023,Fm45,1,134,dtf,Days to flowering
LN2023,Fm45,2,137,dtf,Days to flowering
LN2023,Fm45,3,137,dtf,Days to flowering
LN2023,Fm458,1,142,dtf,Days to flowering
LN2023,Fm458,2,140,dtf,Days to flowering
LN2023,Fm458,3,142,dtf,Days to flowering
LN2023,Fm46,1,123,dtf,Days to flowering
LN2023,Fm46,2,138,dtf,Days to flowering
LN2023,Fm46,3,125,dtf,Days to flowering
LN2023,Fm461,1,87,dtf,Days to flowering
LN2023,Fm461,2,91,dtf,Days to flowering
LN2023,Fm461,3,97,dtf,Days to flowering
LN2023,Fm463,1,142,dtf,Days to flowering
LN2023,Fm463,2,151,dtf,Days to flowering
LN2023,Fm463,3,154,dtf,Days to flowering
LN2023,Fm464,1,139,dtf,Days to flowering
LN2023,Fm464,2,125,dtf,Days to flowering
LN2023,Fm464,3,125,dtf,Days to flowering
LN2023,Fm468,1,139,dtf,Days to flowering
LN2023,Fm468,2,138,dtf,Days to flowering
LN2023,Fm468,3,137,dtf,Days to flowering
LN2023,Fm474,1,149,dtf,Days to flowering
LN2023,Fm474,2,154,dtf,Days to flowering
LN2023,Fm474,3,154,dtf,Days to flowering
LN2023,Fm475,1,110,dtf,Days to flowering
LN2023,Fm475,2,108,dtf,Days to flowering
LN2023,Fm475,3,104,dtf,Days to flowering
LN2023,Fm476,1,105,dtf,Days to flowering
LN2023,Fm476,2,104,dtf,Days to flowering
LN2023,Fm476,3,111,dtf,Days to flowering
LN2023,Fm477,1,107,dtf,Days to flowering
LN2023,Fm477,2,107,dtf,Days to flowering
LN2023,Fm477,3,114,dtf,Days to flowering
LN2023,Fm478,1,110,dtf,Days to flowering
LN2023,Fm478,2,109,dtf,Days to flowering
LN2023,Fm478,3,114,dtf,Days to flowering
LN2023,Fm480,1,114,dtf,Days to flowering
LN2023,Fm480,2,109,dtf,Days to flowering
LN2023,Fm480,3,113,dtf,Days to flowering
LN2023,Fm482,1,109,dtf,Days to flowering
LN2023,Fm482,2,108,dtf,Days to flowering
LN2023,Fm482,3,108,dtf,Days to flowering
LN2023,Fm484,1,101,dtf,Days to flowering
LN2023,Fm484,2,99,dtf,Days to flowering
LN2023,Fm484,3,98,dtf,Days to flowering
LN2023,Fm489,1,94,dtf,Days to flowering
LN2023,Fm489,2,98,dtf,Days to flowering
LN2023,Fm489,3,91,dtf,Days to flowering
LN2023,Fm491,1,111,dtf,Days to flowering
LN2023,Fm491,2,109,dtf,Days to flowering
LN2023,Fm491,3,109,dtf,Days to flowering
LN2023,Fm492,1,117,dtf,Days to flowering
LN2023,Fm492,2,117,dtf,Days to flowering
LN2023,Fm492,3,120,dtf,Days to flowering
LN2023,Fm496,1,93,dtf,Days to flowering
LN2023,Fm496,2,91,dtf,Days to flowering
LN2023,Fm496,3,97,dtf,Days to flowering
LN2023,Fm505,1,128,dtf,Days to flowering
LN2023,Fm505,2,139,dtf,Days to flowering
LN2023,Fm505,3,143,dtf,Days to flowering
LN2023,Fm507,1,106,dtf,Days to flowering
LN2023,Fm507,2,108,dtf,Days to flowering
LN2023,Fm507,3,108,dtf,Days to flowering
LN2023,Fm510,1,137,dtf,Days to flowering
LN2023,Fm510,2,138,dtf,Days to flowering
LN2023,Fm510,3,140,dtf,Days to flowering
LN2023,Fm518,1,102,dtf,Days to flowering
LN2023,Fm518,2,105,dtf,Days to flowering
LN2023,Fm518,3,108,dtf,Days to flowering
LN2023,Fm519,1,104,dtf,Days to flowering
LN2023,Fm519,2,104,dtf,Days to flowering
LN2023,Fm519,3,104,dtf,Days to flowering
LN2023,Fm522,1,117,dtf,Days to flowering
LN2023,Fm522,2,117,dtf,Days to flowering
LN2023,Fm522,3,120,dtf,Days to flowering
LN2023,Fm523,1,90,dtf,Days to flowering
LN2023,Fm523,2,94,dtf,Days to flowering
LN2023,Fm523,3,90,dtf,Days to flowering
LN2023,Fm524,1,102,dtf,Days to flowering
LN2023,Fm524,2,102,dtf,Days to flowering
LN2023,Fm524,3,99,dtf,Days to flowering
LN2023,Fm537,1,101,dtf,Days to flowering
LN2023,Fm537,2,103,dtf,Days to flowering
LN2023,Fm537,3,109,dtf,Days to flowering
LN2023,Fm54,1,159,dtf,Days to flowering
LN2023,Fm54,2,160,dtf,Days to flowering
LN2023,Fm54,3,160,dtf,Days to flowering
LN2023,Fm55,1,140,dtf,Days to flowering
LN2023,Fm55,2,140,dtf,Days to flowering
LN2023,Fm55,3,139,dtf,Days to flowering
LN2023,Fm552,1,107,dtf,Days to flowering
LN2023,Fm552,2,108,dtf,Days to flowering
LN2023,Fm552,3,108,dtf,Days to flowering
LN2023,Fm559,1,151,dtf,Days to flowering
LN2023,Fm559,2,139,dtf,Days to flowering
LN2023,Fm559,3,140,dtf,Days to flowering
LN2023,Fm56,1,138,dtf,Days to flowering
LN2023,Fm56,2,141,dtf,Days to flowering
LN2023,Fm56,3,142,dtf,Days to flowering
LN2023,Fm560,1,84,dtf,Days to flowering
LN2023,Fm560,2,84,dtf,Days to flowering
LN2023,Fm560,3,84,dtf,Days to flowering
LN2023,Fm566,1,106,dtf,Days to flowering
LN2023,Fm566,2,107,dtf,Days to flowering
LN2023,Fm566,3,107,dtf,Days to flowering
LN2023,Fm569,1,85,dtf,Days to flowering
LN2023,Fm569,2,85,dtf,Days to flowering
LN2023,Fm569,3,84,dtf,Days to flowering
LN2023,Fm57,1,162,dtf,Days to flowering
LN2023,Fm57,2,196,dtf,Days to flowering
LN2023,Fm57,3,191,dtf,Days to flowering
LN2023,Fm573,1,141,dtf,Days to flowering
LN2023,Fm573,2,143,dtf,Days to flowering
LN2023,Fm573,3,142,dtf,Days to flowering
LN2023,Fm585,1,102,dtf,Days to flowering
LN2023,Fm585,2,107,dtf,Days to flowering
LN2023,Fm585,3,107,dtf,Days to flowering
