gene_id,gene_symbol,product,scaffold,gene_start,gene_end,association_count,unique_lead_snps,datasets,traits,models,minimum_p,maf05_associations,lead_snps_inside_gene,minimum_distance_to_lead_bp,evidence_score
LOC101765238,LOC101765238,uncharacterized LOC101765238,SCAFFOLD_8,30155031,30161015,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,1,0,6
LOC101756570,LOC101756570,uncharacterized LOC101756570,SCAFFOLD_2,14229163,14233552,1,1,2024_N40,days_to_harvest,FarmCPU,2.07540240200511e-12,1,1,0,6
LOC101771120,LOC101771120,"patatin-like protein 1, transcript variant X1",SCAFFOLD_5,43795552,43799950,1,1,2024_N40,number_of_tillers,FarmCPU,2.45875894950235e-09,1,1,0,6
LOC101773881,LOC101773881,uncharacterized LOC101773881,SCAFFOLD_8,39137618,39142749,1,1,2024_N40,dtf,FarmCPU,3.17440788572453e-09,1,1,0,6
LOC101760535,LOC101760535,probable sulfate transporter 3.4,SCAFFOLD_4,2127060,2132380,1,1,2024_N40,number_of_tillers,BLINK,9.5048299176697e-09,1,1,0,6
LOC101765021,LOC101765021,uncharacterized protein DDB_G0271670,SCAFFOLD_4,6233223,6234917,1,1,2023,thousand_seed_weight_g,BLINK,1.34365699085726e-08,1,1,0,6
LOC101769809,LOC101769809,uncharacterized LOC101769809,SCAFFOLD_2,2983620,2992239,1,1,2023,dtf,FarmCPU,2.28263920605663e-08,1,1,0,6
LOC101772527,LOC101772527,"",SCAFFOLD_3,38267748,38288238,1,1,2024_N120,height_cm,FarmCPU,2.32335572846408e-08,1,1,0,6
LOC101755199,LOC101755199,uncharacterized protein At3g27210,SCAFFOLD_7,17073335,17076143,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,21125,5
LOC101756014,LOC101756014,"F-box/kelch-repeat protein At1g67480, transcript variant X2",SCAFFOLD_7,17085122,17088167,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,9101,5
LOC101762524,LOC101762524,"",SCAFFOLD_7,17122919,17127291,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,8713,5
LOC101756691,LOC101756691,"",SCAFFOLD_7,17191092,17193270,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,54815,5
LOC111258059,LOC111258059,"",SCAFFOLD_7,17211206,17211857,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,74929,5
LOC111257892,LOC111257892,"",SCAFFOLD_7,17229816,17235694,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,93539,5
LOC101753172,LOC101753172,methyltransferase-like protein 13,SCAFFOLD_7,17002444,17011830,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,124174,5
LOC101753580,LOC101753580,RPM1-interacting protein 4,SCAFFOLD_7,17021745,17024912,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,111092,5
LOC101754003,LOC101754003,"violaxanthin de-epoxidase, chloroplastic",SCAFFOLD_7,17025225,17027968,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,108036,5
LOC101754398,LOC101754398,uncharacterized LOC101754398,SCAFFOLD_7,17028139,17035694,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,100310,5
LOC101754797,LOC101754797,"stearoyl-[acyl-carrier-protein] 9-desaturase 5, chloroplastic",SCAFFOLD_7,17035960,17039310,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,96694,5
LOC101761309,LOC101761309,uncharacterized LOC101761309,SCAFFOLD_7,17055372,17061889,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,74115,5
LOC101761697,LOC101761697,"acyl-acyl carrier protein thioesterase ATL4, chloroplastic",SCAFFOLD_7,17063900,17065569,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,70435,5
LOC111257319,LOC111257319,uncharacterized LOC111257319,SCAFFOLD_5,10441255,10446713,2,2,2024_N40,number_of_tillers,MLM,3.15512968869186e-08,0,1,0,5
LOC101764327,LOC101764327,phosphate transporter PHO1-3,SCAFFOLD_4,17828718,17833891,3,1,2024_N120,number_of_tillers,BLINK;FarmCPU;MLM,1.63417130364314e-49,0,0,35369,5
LOC101777784,LOC101777784,myb-related protein 306-like,SCAFFOLD_2,30526110,30527957,3,1,2024_N40,days_to_harvest;dtf,BLINK;FarmCPU,7.2158074710364e-20,3,0,11854,5
LOC101784575,LOC101784575,"chlorophyll a-b binding protein 1B-21, chloroplastic",SCAFFOLD_4,15883014,15884483,2,1,2024_N40,protein_pct,BLINK;FarmCPU,5.38251435561799e-16,2,0,18411,5
LOC101784670,LOC101784670,serine/threonine-protein kinase WNK4,SCAFFOLD_8,7136279,7139313,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,203412,5
LOC101784679,LOC101784679,F-box/FBD/LRR-repeat protein At5g56420-like,SCAFFOLD_8,7258460,7259112,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,83613,5
LOC101785063,LOC101785063,"protein ZINC INDUCED FACILITATOR-LIKE 1, transcript variant X1",SCAFFOLD_8,7283577,7290873,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,51852,5
LOC111258309,LOC111258309,F-box/LRR-repeat protein At3g58940-like,SCAFFOLD_8,7325131,7336924,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,5801,5
LOC101752543,LOC101752543,putative F-box/LRR-repeat protein At4g13960,SCAFFOLD_8,7343455,7344063,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,730,5
LOC101753363,LOC101753363,uncharacterized LOC101753363,SCAFFOLD_8,7354530,7363301,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,11805,5
LOC101753770,LOC101753770,receptor-like protein kinase HSL1,SCAFFOLD_8,7380725,7383797,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,38000,5
LOC101754171,LOC101754171,F-box/FBD/LRR-repeat protein At5g22660,SCAFFOLD_8,7387784,7389035,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,45059,5
LOC101785873,LOC101785873,10 kDa prolamin,SCAFFOLD_8,7413270,7413828,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,70545,5
LOC105915031,LOC105915031,"",SCAFFOLD_8,7416163,7422963,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,73438,5
LOC101755507,LOC101755507,putative disease resistance RPP13-like protein 3,SCAFFOLD_8,33903022,33907072,2,1,2024_N120,height_cm,BLINK;FarmCPU,8.78768972686888e-13,2,0,7715,5
LOC101756584,LOC101756584,(S)-beta-bisabolene synthase,SCAFFOLD_8,33919100,33922131,2,1,2024_N120,height_cm,BLINK;FarmCPU,8.78768972686888e-13,2,0,4313,5
LOC101767547,LOC101767547,MADS-box transcription factor 58,SCAFFOLD_3,4614962,4623428,1,1,2024_N40,protein_pct,FarmCPU,6.09115367643149e-11,0,1,0,5
LOC105914608,LOC105914608,uncharacterized LOC105914608,SCAFFOLD_6,30719436,30721091,1,1,2023,pedicel_length_cm,FarmCPU,6.59104772413302e-11,0,1,0,5
LOC101765064,LOC101765064,uncharacterized LOC101765064,SCAFFOLD_1,40695081,40698101,1,1,2024_N40,number_of_tillers,BLINK,4.05996485083356e-09,0,1,0,5
LOC101767072,LOC101767072,transcription factor bHLH87,SCAFFOLD_5,26333683,26336061,1,1,2024_N40,number_of_tillers,MLM,3.15512968869186e-08,0,1,0,5
LOC101765778,LOC101765778,uncharacterized LOC101765778,SCAFFOLD_3,11989311,11991483,1,1,2024_N120,number_of_tillers,BLINK,3.44282954680653e-08,0,1,0,5
LOC101778059,LOC101778059,"probable RNA-dependent RNA polymerase 3, transcript variant X1",SCAFFOLD_7,3867708,3899316,1,1,2023,pedicel_length_cm,MLM,4.79401412104381e-08,0,1,0,5
LOC101772666,LOC101772666,putative disease resistance protein At5g47280,SCAFFOLD_3,47382158,47386329,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,33871,4
LOC101772001,LOC101772001,serine/threonine-protein kinase SAPK9,SCAFFOLD_3,47386658,47389672,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,30528,4
LOC101773071,LOC101773071,transcription factor HHO3,SCAFFOLD_3,47403151,47405476,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,14724,4
LOC101773476,LOC101773476,protein misato homolog 1,SCAFFOLD_3,47406396,47410720,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,9480,4
LOC101773894,LOC101773894,"calcium-transporting ATPase 10, plasma membrane-type",SCAFFOLD_3,47414642,47420159,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,41,4
LOC101774293,LOC101774293,cyclin-D5-2,SCAFFOLD_3,47428147,47430458,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,101,4
LOC101774702,LOC101774702,"cytoplasmic tRNA 2-thiolation protein 2, transcript variant X2",SCAFFOLD_3,47435787,47438784,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,1273,4
LOC101780927,LOC101780927,transcription factor bHLH139,SCAFFOLD_3,47440689,47441789,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,378,4
LOC101781333,LOC101781333,"kinesin-like protein KIN-12F, transcript variant X2",SCAFFOLD_3,47455409,47469599,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,0,1663,4
LOC101770129,LOC101770129,zinc finger protein 1,SCAFFOLD_3,47216420,47217914,9,9,2023,panicle_length_cm,BLINK,3.90473028399145e-15,9,0,202286,4
LOC101770523,LOC101770523,"nucleobase-ascorbate transporter 3, transcript variant X1",SCAFFOLD_3,47224999,47230906,9,9,2023,panicle_length_cm,BLINK,3.90473028399145e-15,9,0,189294,4
LOC105913931,LOC105913931,"",SCAFFOLD_3,47232424,47238455,9,9,2023,panicle_length_cm,BLINK,3.90473028399145e-15,9,0,181745,4
LOC111256590,LOC111256590,uncharacterized LOC111256590,SCAFFOLD_3,47333098,47334967,9,9,2023,panicle_length_cm,BLINK,3.90473028399145e-15,9,0,85233,4
LOC101769457,LOC101769457,BTB/POZ domain-containing protein NPY4,SCAFFOLD_3,47203563,47208214,8,8,2023,panicle_length_cm,BLINK,3.90473028399145e-15,8,0,213373,4
LOC111256850,LOC111256850,pectinesterase/pectinesterase inhibitor PPE8B-like,SCAFFOLD_3,47475285,47476830,8,8,2023,panicle_length_cm,BLINK,3.90473028399145e-15,8,0,21539,4
LOC101782128,LOC101782128,"",SCAFFOLD_3,47477505,47486098,8,8,2023,panicle_length_cm,BLINK,3.90473028399145e-15,8,0,23759,4
LOC101780522,LOC101780522,uncharacterized LOC101780522,SCAFFOLD_3,47195836,47197418,7,7,2023,panicle_length_cm,BLINK,3.90473028399145e-15,7,0,224169,4
LOC101769051,LOC101769051,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",SCAFFOLD_3,47197548,47201585,7,7,2023,panicle_length_cm,BLINK,3.90473028399145e-15,7,0,220002,4
LOC101768369,LOC101768369,"CSC1-like protein HYP1, transcript variant X2",SCAFFOLD_3,47185798,47191677,6,6,2023,panicle_length_cm,BLINK,3.90473028399145e-15,6,0,229910,4
LOC101767968,LOC101767968,isoflavone 3'-hydroxylase,SCAFFOLD_3,47179414,47181780,3,3,2023,panicle_length_cm,BLINK,9.96406801989656e-11,3,0,239807,4
LOC101758782,LOC101758782,"uncharacterized LOC101758782, transcript variant X3",SCAFFOLD_4,17284577,17288032,3,2,2024_N40,number_of_tillers,FarmCPU;MLM,7.0051429959395e-53,0,0,4345,4
LOC101756052,LOC101756052,probable WRKY transcription factor 63,SCAFFOLD_8,33522591,33524654,3,2,2024_N120,number_of_tillers,BLINK;MLM,9.05515169402991e-21,0,0,4656,4
LOC101782920,LOC101782920,probable LRR receptor-like serine/threonine-protein kinase At3g47570,SCAFFOLD_8,33535056,33538039,3,2,2024_N120,number_of_tillers,BLINK;MLM,9.05515169402991e-21,0,0,17121,4
LOC111258293,LOC111258293,"",SCAFFOLD_8,33553753,33554601,3,2,2024_N120,number_of_tillers,BLINK;MLM,9.05515169402991e-21,0,0,35818,4
LOC101772654,LOC101772654,7-deoxyloganetin glucosyltransferase,SCAFFOLD_8,39108069,39110017,2,2,2024_N40,dtf,FarmCPU,5.67829021135139e-15,2,0,2123,4
LOC101772253,LOC101772253,"putative disease resistance protein At1g50180, transcript variant X3",SCAFFOLD_8,39109933,39114977,2,2,2024_N40,dtf,FarmCPU,5.67829021135139e-15,2,0,3987,4
LOC101783472,LOC101783472,"",SCAFFOLD_8,36830538,36832793,2,2,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,1,0,12821,4
LOC101777819,LOC101777819,protein FAR1-RELATED SEQUENCE 5-like,SCAFFOLD_8,36833050,36836002,2,2,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,1,0,9612,4
LOC101783735,LOC101783735,dirigent protein 1,SCAFFOLD_8,36841673,36842449,2,2,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,1,0,3165,4
LOC101784145,LOC101784145,"nodulin homeobox, transcript variant X1",SCAFFOLD_8,36848699,36856033,2,2,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,1,0,3085,4
TRNAN-GUU-9,TRNAN-GUU,"",SCAFFOLD_8,36856130,36856203,2,2,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,1,0,10516,4
LOC101784816,LOC101784816,"sister-chromatid cohesion protein 3, transcript variant X3",SCAFFOLD_8,36856512,36865072,2,2,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,1,0,10898,4
LOC101785745,LOC101785745,sodium/hydrogen exchanger 2,SCAFFOLD_8,36866134,36870610,2,2,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,1,0,20520,4
LOC101786151,LOC101786151,"kinesin-like protein KIN-14O, transcript variant X1",SCAFFOLD_8,36873495,36877495,2,2,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,1,0,27881,4
LOC101765631,LOC101765631,"uncharacterized LOC101765631, transcript variant X4",SCAFFOLD_8,5914548,5918795,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,158934,4
LOC111258304,LOC111258304,WD repeat-containing protein 44-like,SCAFFOLD_8,5926525,5930191,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,147538,4
LOC101766733,LOC101766733,1-aminocyclopropane-1-carboxylate oxidase,SCAFFOLD_8,5932165,5934109,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,143620,4
LOC101767145,LOC101767145,"",SCAFFOLD_8,5974177,5977069,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,100660,4
LOC101767409,LOC101767409,DNA topoisomerase 2-binding protein 1,SCAFFOLD_8,5996391,6004566,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,73163,4
LOC101767810,LOC101767810,"probable NAD kinase 2, chloroplastic",SCAFFOLD_8,6016649,6022131,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,55598,4
LOC101766461,LOC101766461,wall-associated receptor kinase 2,SCAFFOLD_8,6033221,6045411,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,32318,4
LOC101766879,LOC101766879,wall-associated receptor kinase 2,SCAFFOLD_8,6055190,6061962,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,15767,4
LOC101767290,LOC101767290,wall-associated receptor kinase 2,SCAFFOLD_8,6088046,6092622,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,7887,4
LOC101767687,LOC101767687,F-box/LRR-repeat protein At4g14103,SCAFFOLD_8,6097342,6099359,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,17183,4
LOC101768486,LOC101768486,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",SCAFFOLD_8,6103688,6106734,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,23529,4
LOC101768884,LOC101768884,probable receptor-like serine/threonine-protein kinase At5g57670,SCAFFOLD_8,6107557,6111922,2,2,2023,dtf,FarmCPU,1.66315558985363e-13,2,0,27398,4
LOC101784956,LOC101784956,CBL-interacting protein kinase 22,SCAFFOLD_3,26687667,26689244,2,2,2023,pedicel_length_cm,FarmCPU,3.09072587452664e-11,2,0,29813,4
LOC101768714,LOC101768714,"uncharacterized LOC101768714, transcript variant X2",SCAFFOLD_6,17567772,17573205,2,2,2023,dtf,FarmCPU,6.74497524262364e-11,2,0,1641,4
LOC101772911,LOC101772911,GDSL esterase/lipase At5g55050,SCAFFOLD_7,1903691,1905401,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,215952,4
LOC111257914,LOC111257914,GDSL esterase/lipase At1g71250-like,SCAFFOLD_7,1905496,1905976,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,215377,4
LOC101785033,LOC101785033,uncharacterized RNA-binding protein C17H9.04c,SCAFFOLD_7,1960032,1965913,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,155440,4
LOC101773739,LOC101773739,disease resistance protein RPM1,SCAFFOLD_7,1979863,1982766,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,138587,4
LOC101774147,LOC101774147,uncharacterized LOC101774147,SCAFFOLD_7,2004818,2015843,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,105510,4
LOC101785436,LOC101785436,"ATP sulfurylase 2, transcript variant X2",SCAFFOLD_7,2027933,2032513,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,88840,4
LOC101785985,LOC101785985,transcription factor E2FC,SCAFFOLD_7,2043094,2050109,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,71244,4
LOC111257915,LOC111257915,protein MID1-COMPLEMENTING ACTIVITY 2-like,SCAFFOLD_7,2084586,2089604,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,31749,4
LOC105914710,LOC105914710,receptor-like protein kinase HERK 1,SCAFFOLD_7,2089797,2091013,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,30340,4
LOC101786391,LOC101786391,uncharacterized LOC101786391,SCAFFOLD_7,2096319,2098410,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,22943,4
LOC101774941,LOC101774941,uncharacterized LOC101774941,SCAFFOLD_7,2121496,2134988,1,1,2024_N40,days_to_harvest,FarmCPU,1.06755750542175e-31,1,0,143,4
LOC101770253,LOC101770253,ras-related protein Rab7,SCAFFOLD_3,12084287,12086611,2,1,2024_N120,number_of_tillers,BLINK;MLM,8.35266514350729e-20,0,0,2159,4
LOC111257656,LOC111257656,uncharacterized LOC111257656,SCAFFOLD_6,32359215,32360426,1,1,2024_N40,number_of_tillers,FarmCPU,5.34971481471964e-19,1,0,1041,4
LOC101757483,LOC101757483,"keratin, type I cytoskeletal 9-like",SCAFFOLD_6,28802132,28803199,1,1,2024_N120,protein_pct,FarmCPU,5.57699435056582e-18,1,0,431,4
LOC101783666,LOC101783666,"uncharacterized LOC101783666, transcript variant X2",SCAFFOLD_1,14867339,14870449,1,1,2024_N120,protein_pct,BLINK,6.84701833682614e-16,1,0,101879,4
LOC101783280,LOC101783280,uncharacterized LOC101783280,SCAFFOLD_1,14873637,14877072,1,1,2024_N120,protein_pct,BLINK,6.84701833682614e-16,1,0,95256,4
LOC101784090,LOC101784090,calphotin-like,SCAFFOLD_1,14970466,14971473,1,1,2024_N120,protein_pct,BLINK,6.84701833682614e-16,1,0,855,4
LOC111258205,LOC111258205,receptor-like protein 12,SCAFFOLD_8,39075933,39078894,1,1,2024_N40,dtf,FarmCPU,5.67829021135139e-15,1,0,27052,4
LOC101775207,LOC101775207,chitin elicitor-binding protein,SCAFFOLD_2,39192401,39195267,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,15151,4
LOC101784271,LOC101784271,"protein DETOXIFICATION 45, chloroplastic",SCAFFOLD_2,39215776,39220340,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,5358,4
LOC101775611,LOC101775611,probable flavin-containing monooxygenase 1,SCAFFOLD_2,39220431,39223294,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,10013,4
LOC101776016,LOC101776016,"probable flavin-containing monooxygenase 1, transcript variant X2",SCAFFOLD_2,39224347,39226565,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,13929,4
LOC101776689,LOC101776689,"uncharacterized LOC101776689, transcript variant X1",SCAFFOLD_2,39228145,39236216,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,17727,4
LOC106804166,LOC106804166,uncharacterized LOC106804166,SCAFFOLD_2,39230900,39232753,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,20482,4
LOC101777104,LOC101777104,"",SCAFFOLD_2,39237978,39240084,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,27560,4
LOC101777377,LOC101777377,"protein NLP1, transcript variant X3",SCAFFOLD_2,39240348,39245466,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,29930,4
LOC101778728,LOC101778728,U11/U12 small nuclear ribonucleoprotein 31 kDa protein,SCAFFOLD_2,39245569,39249464,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,35151,4
LOC101778325,LOC101778325,uncharacterized LOC101778325,SCAFFOLD_2,39249475,39252404,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,39057,4
LOC101779144,LOC101779144,bromodomain-containing protein 4B,SCAFFOLD_2,39264878,39271022,1,1,2024_N40,number_of_tillers,FarmCPU,2.21523370672165e-14,1,0,54460,4
LOC101765223,LOC101765223,DNA polymerase delta catalytic subunit,SCAFFOLD_8,5892626,5903105,1,1,2023,dtf,FarmCPU,1.66315558985363e-13,1,0,177054,4
