t2t_gene_id,symbol,description,lift_t2t_chr,t2t_gene_start,t2t_gene_end,association_count,unique_lead_snps,datasets,traits,models,minimum_p,maf05_associations,lead_snps_inside_gene,minimum_distance_to_lead_bp,evidence_score
Seita.9G140900,--,RCV41503.1 hypothetical protein SETIT_9G140900v2 [Setaria italica],Chr9,8983551,8984380,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,3017,6
Seita.9G141100,--,XP_004982185.1 uncharacterized protein LOC101762011 [Setaria italica],Chr9,8987561,8988736,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,164,6
Seita.9G141200,--,XP_004982186.1 thymocyte nuclear protein 1 [Setaria italica],Chr9,8991067,8992526,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,2077,6
Seita.9G141400,--,RCV41509.1 hypothetical protein SETIT_9G141400v2 [Setaria italica],Chr9,8997027,8997939,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,2424,6
Seita.9G589000,--,-,Chr9,8999602,9001642,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,4999,6
Seita.9G141500,--,XP_004986317.1 ocs element-binding factor 1 [Setaria italica],Chr9,9007331,9007852,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,12728,6
Seita.9G141600,--,XP_004982187.1 uncharacterized protein LOC101763093 [Setaria italica],Chr9,9014183,9016003,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,19580,6
Seita.9G141700,--,XP_004982188.1 uncharacterized protein LOC101763498 [Setaria italica],Chr9,9024727,9025801,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,30124,6
Seita.9G589100,--,"KAB8102781.1 hypothetical protein EE612_034762, partial [Oryza sativa]",Chr9,9031398,9033046,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,36795,6
Seita.9G141800,PG2C,XP_004986318.1 exopolygalacturonase [Setaria italica],Chr9,9031437,9032699,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,36834,6
Seita.9G141900,GRF9,XP_004982189.1 growth-regulating factor 9 [Setaria italica],Chr9,9038701,9043887,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,44098,6
Seita.9G142000,CBSDUF3,XP_004982190.1 DUF21 domain-containing protein At2g14520 [Setaria italica],Chr9,9051602,9057567,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,56999,6
Seita.9G142100,RXW8,XP_004982191.1 CSC1-like protein RXW8 [Setaria italica],Chr9,9062145,9071895,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,67542,6
Seita.9G142200,--,RCV41517.1 hypothetical protein SETIT_9G142200v2 [Setaria italica],Chr9,9069938,9070138,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,75335,6
Seita.6G319500,CLPP2,TKW11091.1 hypothetical protein SEVIR_6G210800v2 [Setaria viridis],Chr6,34168585,34170688,1,1,2024_N40,number_of_tillers,FarmCPU,5.34971481471964e-19,1,1,0,6
Seita.6G099700,--,RCV30495.1 hypothetical protein SETIT_6G099700v2 [Setaria italica],Chr6,11414645,11416788,1,1,2024_N120,dtf,FarmCPU,2.61351786009307e-15,1,1,0,6
Seita.8G160100,dnaJ1,XP_004980631.1 uncharacterized protein LOC101765238 [Setaria italica],Chr8,32983431,32989691,1,1,2024_N120,days_to_harvest,FarmCPU,1.15854557082629e-12,1,1,0,6
Seita.6G310300,--,-,Chr6,31210136,31211013,1,1,2024_N40,days_to_harvest,FarmCPU,1.17728197308711e-09,1,1,0,6
Seita.5G415000,PLP3,XP_022682131.1 patatin-like protein 1 isoform X1 [Setaria italica],Chr5,46432401,46436805,1,1,2024_N40,number_of_tillers,FarmCPU,2.45875894950235e-09,1,1,0,6
Seita.8G238500,OSA15,XP_012704039.1 uncharacterized protein LOC101773881 [Setaria italica],Chr8,42278303,42284010,1,1,2024_N40,dtf,FarmCPU,3.17440788572453e-09,1,1,0,6
Seita.4G176700,--,-,Chr4,2132372,2137854,1,1,2024_N40,number_of_tillers,BLINK,9.5048299176697e-09,1,1,0,6
Seita.4G032500,SULTR3;4,XP_004964529.1 probable sulfate transporter 3.4 [Setaria italica],Chr4,2134234,2139681,1,1,2024_N40,number_of_tillers,BLINK,9.5048299176697e-09,1,1,0,6
Seita.4G079700,--,RCV20719.1 hypothetical protein SETIT_4G079700v2 [Setaria italica],Chr4,6207622,6210072,1,1,2023,thousand_seed_weight_g,BLINK,1.34365699085726e-08,1,1,0,6
Seita.1G346000,--,XP_034569779.1 uncharacterized protein LOC117834275 [Setaria viridis],Chr1,3896529,3900717,1,1,2024_N120,days_to_harvest,FarmCPU,1.46299187422321e-08,1,1,0,6
Seita.9G466300,--,RCV45587.1 hypothetical protein SETIT_9G466300v2 [Setaria italica],Chr9,52870446,52875154,1,1,2024_N40,number_of_tillers,FarmCPU,1.69010219090244e-08,1,1,0,6
Seita.2G036400,--,XP_004955486.1 uncharacterized protein LOC101769809 [Setaria italica],Chr2,3451278,3460156,1,1,2023,dtf,FarmCPU,2.28263920605663e-08,1,1,0,6
Seita.3G486300,--,XP_034578675.1 uncharacterized protein LOC117842366 isoform X1 [Setaria viridis],Chr3,36064004,36071383,1,1,2024_N120,height_cm,FarmCPU,2.32335572846408e-08,1,1,0,6
Seita.7G067700,Y-2,XP_004975372.1 uncharacterized protein At3g27210 [Setaria italica],Chr7,18173220,18176258,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,21074,5
Seita.7G067800,At1g67480,XP_004975373.1 F-box/kelch-repeat protein At1g67480 [Setaria italica],Chr7,18185054,18188586,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,8746,5
Seita.7G067900,--,RCV33245.1 hypothetical protein SETIT_7G067900v2 [Setaria italica],Chr7,18214866,18215487,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,17534,5
Seita.7G358500,--,-,Chr7,18218589,18220276,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,15792,5
Seita.7G068000,--,RCV33246.1 hypothetical protein SETIT_7G068000v2 [Setaria italica],Chr7,18222600,18225795,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,10273,5
Seita.7G068100,--,RCV33247.1 hypothetical protein SETIT_7G068100v2 [Setaria italica],Chr7,18233057,18235703,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,365,5
Seita.7G068200,--,RCV33248.1 hypothetical protein SETIT_7G068200v2 [Setaria italica],Chr7,18239445,18240140,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,3104,5
Seita.7G068300,--,RCV33249.1 hypothetical protein SETIT_7G068300v2 [Setaria italica],Chr7,18251796,18252893,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,15455,5
Seita.7G358700,--,-,Chr7,18266394,18267424,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,30053,5
Seita.7G068400,--,RCV33250.1 hypothetical protein SETIT_7G068400v2 [Setaria italica],Chr7,18298670,18299125,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,62329,5
Seita.7G068500,--,RCV33251.1 hypothetical protein SETIT_7G068500v2 [Setaria italica],Chr7,18300870,18301957,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,64529,5
Seita.7G358800,--,TKW21480.1 hypothetical protein SEVIR_4G121601v2 [Setaria viridis],Chr7,18313282,18313892,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,76941,5
Seita.7G068600,--,RCV33252.1 hypothetical protein SETIT_7G068600v2 [Setaria italica],Chr7,18319427,18319872,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,83086,5
Seita.7G358900,--,-,Chr7,18319930,18321257,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,83589,5
Seita.7G068700,--,RCV33253.1 hypothetical protein SETIT_7G068700v2 [Setaria italica],Chr7,18328580,18329270,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,92239,5
Seita.7G068800,--,RCV33254.1 hypothetical protein SETIT_7G068800v2 [Setaria italica],Chr7,18330664,18331649,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,94323,5
Seita.7G359000,--,-,Chr7,18336251,18336847,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,99910,5
Seita.7G359100,--,"AAX95266.1 transposon protein, putative, CACTA, En/Spm sub-class [Oryza sativa Japonica Group]",Chr7,18349755,18358485,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,113414,5
Seita.4G146400,--,RCV21528.1 hypothetical protein SETIT_4G146400v2 [Setaria italica],Chr4,17940340,17941589,4,2,2024_N120,number_of_tillers,BLINK;FarmCPU;MLM,1.63417130364314e-49,0,0,13309,5
Seita.7G067000,mettl13,XP_004975367.1 methyltransferase-like protein 13 [Setaria italica],Chr7,18101880,18111597,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,124471,5
Seita.7G067100,--,XP_004975368.1 RPM1-interacting protein 4 [Setaria italica],Chr7,18121211,18124439,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,111629,5
Seita.7G067200,VDE1,"XP_004975369.1 violaxanthin de-epoxidase, chloroplastic [Setaria italica]",Chr7,18124608,18127545,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,108523,5
Seita.7G067300,--,XP_004975370.1 uncharacterized protein LOC101754398 [Setaria italica],Chr7,18127577,18135229,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,100839,5
Seita.7G067400,Os04g0379900,"XP_004975371.1 stearoyl-[acyl-carrier-protein] 9-desaturase 5, chloroplastic [Setaria italica]",Chr7,18135109,18138938,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,97130,5
Seita.7G067500,--,RCV33241.1 hypothetical protein SETIT_7G067500v2 [Setaria italica],Chr7,18140628,18145647,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,90421,5
Seita.7G358300,--,-,Chr7,18143348,18148984,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,87084,5
Seita.7G358400,--,XP_034569858.1 uncharacterized protein LOC117834372 [Setaria viridis],Chr7,18155252,18156136,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,79932,5
Seita.7G067600,TE3,RCV33242.1 hypothetical protein SETIT_7G067600v2 [Setaria italica],Chr7,18163724,18165499,3,2,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,0,70569,5
Seita.5G483600,--,XP_022682372.1 uncharacterized protein LOC111257319 [Setaria italica],Chr5,10509066,10512976,2,2,2024_N40,number_of_tillers,MLM,3.15512968869186e-08,0,1,0,5
Seita.2G204300,MYB94,RCV11658.1 hypothetical protein SETIT_2G204300v2 [Setaria italica],Chr2,34001289,34003069,3,1,2024_N40,days_to_harvest;dtf,BLINK;FarmCPU,7.2158074710364e-20,3,0,12039,5
Seita.2G480300,--,OQU80412.1 hypothetical protein SORBI_3007G123850 [Sorghum bicolor],Chr2,23803207,23806504,1,1,2024_N40,dtf,BLINK,2.83862244717862e-17,0,1,0,5
Seita.4G328500,--,XP_044432527.1 putative disease resistance protein RGA3 [Triticum aestivum],Chr4,15902952,15905356,2,1,2024_N40,protein_pct,BLINK;FarmCPU,5.38251435561799e-16,2,0,13865,5
Seita.8G215800,--,RCV39342.1 hypothetical protein SETIT_8G215800v2 [Setaria italica],Chr8,40070278,40070878,1,1,2023,pedicel_length_cm,FarmCPU,1.88832244808864e-14,0,1,0,5
Seita.8G070400,--,XP_004978936.1 serine/threonine-protein kinase WNK4 [Setaria italica],Chr8,7809321,7812530,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,203170,5
Seita.8G070500,--,RCV37528.1 hypothetical protein SETIT_8G070500v2 [Setaria italica],Chr8,7829276,7835686,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,180014,5
Seita.8G269000,--,-,Chr8,7840328,7841311,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,174389,5
Seita.8G269100,--,RCV37529.1 hypothetical protein SETIT_8G070600v2 [Setaria italica],Chr8,7845588,7861612,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,154088,5
Seita.8G269200,--,XP_034569518.1 uncharacterized protein LOC117834017 [Setaria viridis],Chr8,7875187,7878095,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,137605,5
Seita.8G070600,--,RCV37529.1 hypothetical protein SETIT_8G070600v2 [Setaria italica],Chr8,7884699,7888227,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,127473,5
Seita.8G269300,--,XP_034569518.1 uncharacterized protein LOC117834017 [Setaria viridis],Chr8,7895161,7898419,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,117281,5
Seita.8G269400,--,RCV37529.1 hypothetical protein SETIT_8G070600v2 [Setaria italica],Chr8,7907902,7909987,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,105713,5
Seita.8G269500,--,XP_034569518.1 uncharacterized protein LOC117834017 [Setaria viridis],Chr8,7916875,7919732,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,95968,5
Seita.8G269600,--,XP_034569394.1 F-box/LRR-repeat protein 13-like [Setaria viridis],Chr8,7933247,7934320,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,81380,5
Seita.8G269700,--,XP_034594585.1 uncharacterized protein LOC117856298 [Setaria viridis],Chr8,7950872,7952182,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,63518,5
Seita.8G070700,ZIFL1,XP_004978937.1 protein ZINC INDUCED FACILITATOR-LIKE 1 isoform X1 [Setaria italica],Chr8,7956559,7963887,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,51813,5
Seita.8G070800,RGA1,RCV37531.1 hypothetical protein SETIT_8G070800v2 [Setaria italica],Chr8,7978476,7982519,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,33181,5
Seita.8G070900,At5g02930,RCV37532.1 hypothetical protein SETIT_8G070900v2 [Setaria italica],Chr8,8008432,8009899,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,5801,5
Seita.8G071000,At2g42720,RCV37533.1 hypothetical protein SETIT_8G071000v2 [Setaria italica],Chr8,8016442,8019758,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,742,5
Seita.8G071100,--,RCV37534.1 hypothetical protein SETIT_8G071100v2 [Setaria italica],Chr8,8020488,8021143,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,4788,5
Seita.8G071200,PUB1,RCV37535.1 hypothetical protein SETIT_8G071200v2 [Setaria italica],Chr8,8022925,8024570,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,7225,5
Seita.8G071300,--,RCV37536.1 hypothetical protein SETIT_8G071300v2 [Setaria italica],Chr8,8027505,8031326,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,11805,5
Seita.8G071400,CRK10,RCV37537.1 hypothetical protein SETIT_8G071400v2 [Setaria italica],Chr8,8037266,8039211,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,21566,5
Seita.8G071500,HSL1,XP_022685200.1 receptor-like protein kinase HSL1 [Setaria italica],Chr8,8053623,8056964,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,37923,5
Seita.8G071600,At3g59190,RCV37539.1 hypothetical protein SETIT_8G071600v2 [Setaria italica],Chr8,8058939,8061993,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,43239,5
Seita.8G071700,At5g02930,RCV37540.1 hypothetical protein SETIT_8G071700v2 [Setaria italica],Chr8,8071883,8073084,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,56183,5
Seita.8G269800,--,NP_001148741.1 Transcription factor bHLH130 [Zea mays],Chr8,8083577,8084084,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,67877,5
Seita.8G071900,--,XP_004978938.1 10 kDa prolamin [Setaria italica],Chr8,8086200,8086875,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,70500,5
Seita.8G072000,--,RCV37543.1 hypothetical protein SETIT_8G072000v2 [Setaria italica],Chr8,8089098,8094709,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,73398,5
Seita.8G072100,Os03g0210200,RCV37544.1 hypothetical protein SETIT_8G072100v2 [Setaria italica],Chr8,8115309,8115818,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,99609,5
Seita.8G072200,Os03g0210200,XP_022685167.1 cysteine proteinase inhibitor 8-like [Setaria italica],Chr8,8126626,8128245,2,1,2024_N120,dtf,BLINK;FarmCPU,8.11317106104102e-14,2,0,110926,5
Seita.8G191900,RGA5,XP_004979709.1 putative disease resistance RPP13-like protein 3 [Setaria italica],Chr8,36923951,36929216,2,1,2024_N120,height_cm,BLINK;FarmCPU,8.78768972686888e-13,2,0,7099,5
Seita.8G192000,TPS21,QJA42362.1 terpene synthase TPS32 [Setaria italica],Chr8,36940536,36943753,2,1,2024_N120,height_cm,BLINK;FarmCPU,8.78768972686888e-13,2,0,4221,5
Seita.3G073000,MADS58,XP_004960599.1 MADS-box transcription factor 58 [Setaria italica],Chr3,4604472,4613071,1,1,2024_N40,protein_pct,FarmCPU,6.09115367643149e-11,0,1,0,5
Seita.1G355000,rpsO,XP_004954258.1 uncharacterized protein LOC101765064 [Setaria italica],Chr1,43268877,43271948,1,1,2024_N40,number_of_tillers,BLINK,4.05996485083356e-09,0,1,0,5
